order_id,customer_id,order_date,total_amount
1000,500,2024-06-01,276.78
1001,501,2024-06-02,93.41
1002,502,2024-06-03,352.62
1003,503,2024-06-04,277.33
1004,504,2024-06-05,327.53
1005,505,2024-06-06,262.18
1006,506,2024-06-07,173.67
1007,507,2024-06-08,94.84
1008,508,2024-06-09,233.77
1009,509,2024-06-10,343.16
1010,510,2024-06-11,189.62
1011,511,2024-06-12,267.91
1012,512,2024-06-13,79.15
1013,513,2024-06-14,329.92
1014,514,2024-06-15,432.79
1015,515,2024-06-16,401.14
1016,516,2024-06-17,191.61
1017,517,2024-06-18,467.96
1018,518,2024-06-19,468.08
1019,519,2024-06-20,68.79
1020,520,2024-06-21,457.8
1021,521,2024-06-22,422.8
1022,522,2024-06-23,168.35
1023,523,2024-06-24,80.72
1024,524,2024-06-25,168.17
1025,525,2024-06-26,449.9
1026,526,2024-06-27,167.8
1027,527,2024-06-28,181.84
1028,528,2024-06-29,82.89
1029,529,2024-06-30,242.71
1030,530,2024-06-01,246.39
1031,531,2024-06-02,160.63
1032,532,2024-06-03,419.47
1033,533,2024-06-04,427.1
1034,534,2024-06-05,115.74
1035,535,2024-06-06,496.56
1036,536,2024-06-07,480.85
1037,537,2024-06-08,420.55
1038,538,2024-06-09,273.36
1039,539,2024-06-10,50.67
1040,540,2024-06-11,241.28
1041,541,2024-06-12,238.5
1042,542,2024-06-13,454.93
1043,543,2024-06-14,457.84
1044,544,2024-06-15,460.81
1045,545,2024-06-16,270.29
1046,546,2024-06-17,377.66
1047,547,2024-06-18,183.3
1048,548,2024-06-19,65.44
1049,549,2024-06-20,67.25
1050,550,2024-06-21,295.72
1051,551,2024-06-22,469.77
1052,552,2024-06-23,454.95
1053,553,2024-06-24,354.12
1054,554,2024-06-25,496.77
1055,555,2024-06-26,115.54
1056,556,2024-06-27,421.71
1057,557,2024-06-28,400.61
1058,558,2024-06-29,98.48
1059,559,2024-06-30,426.57
1060,560,2024-06-01,66.89
1061,561,2024-06-02,93.45
1062,562,2024-06-03,66.71
1063,563,2024-06-04,288.77
1064,564,2024-06-05,102.96
1065,565,2024-06-06,476.5
1066,566,2024-06-07,196.27
1067,567,2024-06-08,223.64
1068,568,2024-06-09,375.31
1069,569,2024-06-10,95.18
1070,570,2024-06-11,291.17
1071,571,2024-06-12,378.03
1072,572,2024-06-13,157.24
1073,573,2024-06-14,424.57
1074,574,2024-06-15,112.7
1075,575,2024-06-16,117.02
1076,576,2024-06-17,68.44
1077,577,2024-06-18,413.69
1078,578,2024-06-19,323.44
1079,579,2024-06-20,375.62
1080,580,2024-06-21,355.05
1081,581,2024-06-22,149.06
1082,582,2024-06-23,471.18
1083,583,2024-06-24,217.54
1084,584,2024-06-25,118.55
1085,585,2024-06-26,95.09
1086,586,2024-06-27,231.84
1087,587,2024-06-28,288.63
1088,588,2024-06-29,448.05
1089,589,2024-06-30,51.91
1090,590,2024-06-01,278.26
1091,591,2024-06-02,70.68
1092,592,2024-06-03,273.62
1093,593,2024-06-04,461.88
1094,594,2024-06-05,389.04
1095,595,2024-06-06,91.45
1096,596,2024-06-07,73.16
1097,597,2024-06-08,275.83
1098,598,2024-06-09,225.53
1099,599,2024-06-10,193.06
